Name, Symbol, Atomic_Number, Atomic_Weight, Atomic_Radius, Pauling_Electronegativity, Oxidation_States
Hydrogen, H,1,1.00794,79,2.2, 1 -1
Helium, He,2,4.002602,0,-,-
Lithium, Li,3,6.941,155,0.98,1
Beryllium, Be,4,9.01218,112,1.57,2
Boron, B,5,10.811,98,2.04,3
Carbon, C,6,12.011,91,2.55, 4 2 -4
Nitrogen, N,7,14.00674,92,3.04, 5 4 3 2 -3
Oxygen, O,8,15.9994,-,3.44,-2 -1
Fluorine, F,9,18.998403,-,3.98,-1
Neon, Ne,10,20.1797,-,0,-
Sodium, Na,11,22.989768,190,0.93,1
Magnesium, Mg,12,24.305,160,1.31,2
Aluminum, Al,13,26.981539,143,1.61,3
Silicon, Si,14,28.0855,132,1.9, 4 -4
Phosphorus, P,15,30.973762,128,2.19, 5 3 -3
Sulfur, S,16,32.066,127,2.58, 6 4 2 -2
Chlorine, Cl,17,35.4527,-,3.16, 7 5 3 1 -1
Argon, Ar,18,39.948,-,0,-
Potassium, K,19,39.0983,235,0.82,1
Calcium, Ca,20,40.078,197,1,2
Scandium, Sc,21,44.95591,162,1.36,3
Titanium, Ti,22,47.88,147,1.54, 4 3
Vanadium, V,23,50.9415,134,1.63, 5 4 3 2 0
Chromium, Cr,24,51.9961,130,1.66, 6 3 2 0
Manganese, Mn,25,54.93805,135,1.55, 7 6 4 3 2 0 -1
Iron, Fe,26,55.847,126,1.83, 6 3 2 0 -2
Cobalt, Co,27,58.9332,125,1.88, 3 2 0 -1
Nickel, Ni,28,58.6934,124,1.91, 3 2 0
Copper, Cu,29,63.546,128,1.9, 2 1
Zinc, Zn,30,65.39,138,1.65,2
Gallium, Ga,31,69.723,141,1.81,3
Germanium, Ge,32,72.61,137,2.01,4
Arsenic, As,33,74.92159,139,2.18, 5 3 -2
Selenium, Se,34,78.96,140,2.55, 6 4 -2
Bromine, Br,35,79.904,-,2.96, 7 5 3 1 -1
Krypton, Kr,36,83.8,-,0,2
Rubidium, Rb,37,85.4678,248,0.82,1
Strontium, Sr,38,87.62,215,0.95,2
Yttrium, Y,39,88.90585,178,1.22,3
Zirconium, Zr,40,91.224,160,1.33,4
Niobium, Nb,41,92.90638,146,1.6, 5 3
Molybdenum, Mo,42,95.94,139,2.16, 6 5 4 3 2 0
Technetium, Tc,43,97.9072,136,1.9,7
Ruthenium, Ru,44,101.07,134,2.2, 8 6 4 3 2 0 -2
Rhodium, Rh,45,102.9055,134,2.28, 5 4 3 2 1 0
Palladium, Pd,46,106.42,137,2.2, 4 2 0
Silver, Ag,47,107.8682,144,1.93, 2 1
Cadmium, Cd,48,112.411,154,1.69,2
